_date,C1_hallway,S1_grief,S2_workplace,S3_dv_direct,S4_dv_third_party,S5_addiction,S6_child_disclosure,age,education,field,gender,reflection,timestamp,_status
2026-04-06T11:51:01.484609,Respond with the same sentence,"Oh my, I am deeply sorry for your loss",Maybe our committe could take a second look just to make it perfect,"Sure thing, when",Can you mention it to his parents?,"Take care, bar is closed","Go to the plice and talk with a therapist with your daughter, this is serious",18 to 24,Bachelor's degree,Other,Woman,Negative scenerious taken from life,2026-04-06T11:51:00.130Z,
2026-04-06T10:17:40.146625,"Keep it short and keep moving. Since they're in a rush, a quick acknowledgment is better than a full conversation.","I’m so, so sorry. I’m glad you reached out. Please don't worry about replying to this, but I’m here for whatever you need. Sending so much love to you and your family.",This is impressive work. One quick concern: does the revenue model hold up against .....? I’d hate to see an investor get hung up on that.,"I’ve missed you too and would love to see you! But I’ll be honest, the 'don’t tell my husband' part makes me a little nervous. Is everything okay with you guys?","I get why that didn't sit right. Even if she laughed it off, checking someone's phone and extreme jealousy are usually red flags for control, not just 'protectiveness","Hey! Great to hear from you, but sorry to hear it’s been such a rough week. I definitely remember that spot, but honestly, I'm more down to catch up over coffee or grab some food somewhere new. When are you free to hang? I'm around this weekend if you want to vent.","I am so glad you told me. This is really serious, and you’re right to be careful.
When a child shares something serious, it is important to handle the situation with care.
Avoid asking for more details, as professional interviewers are trained to gather this information in a way that is safe for the child and any future legal steps. Instead, contact the Childhelp National Hotline at 1-800-422-4453 or reach out to a local Child Advocacy Center immediately. These organizations provide expert guidance on how to ensure the child's safety and what steps to take next.",18 to 24,Bachelor's degree,Healthcare / social work,Woman,no,2026-04-06T10:17:06.106Z,
2026-04-06T08:24:22.303834,"Good, thanks! You?","I'm so sorry. I'm here for you, no matter what you need. Love you man.","Hey, I think it's really solid overall. One thing I'd flag before you send it to investors - the revenue model sits in a legal gray area that might raise red flags. Might be worth a quick chat with a lawyer first, just to cover yourself. Could save a lot of headache later.","Of course, would love to catch up! Just let me know when works for you.","Honestly that doesn't sound like nothing to me. Checking someone's phone is a control thing. I'd keep an eye on it and maybe gently check in with her again - not confrontational, just let her know you're there if she ever wants to talk. Trust your gut on this one.",Hey! Good to hear from you. Rough weeks happen. Want to grab coffee and catch up? I'm around this weekend.,,25 to 34,Bachelor's degree,Technology,Man,,2026-04-06T08:24:18.390Z,
2026-04-06T07:47:39.761263,im fine how are you ?,im so sorry. im here for u if u need anything.,its obviously not fully legal. u gonna have problems,"hey, sure. i miss you too.",we shoult talk to her about it,i would call this person immiediately,ask the questions so that u are sure,18 to 24,Graduate degree,Other,Woman,im empathic and care about my close ones,2026-04-06T07:48:17.331Z,
2026-04-06T07:47:03.101498,Good thank you!,I'm really sorry to hear that. Do take care.,This looks like really good stuff but I think there's some really critical issues in getting this to work.,"Sure of course, sounds good to have a catch up session! But I'd really have to let my partner know about it though",You should probably mention your concerns to her but maybe give her the autonomy to decide for herself what she wants to do.,"Doing well, thanks! Sorry to hear that it's been rough for you, I'd gladly meet up with you again, but maybe that bar might not be such a great idea. Would you like to meet over dinner instead?","That really is concerning, and I would personally bring this up with her dad. But before that, you should probably check in with your daughter and make sure she's okay. It's still important to hear her side of the story and maybe start with some open ended questions rather than anything suggestive.",25 to 34,Bachelor's degree,Healthcare / social work,Man,,2026-04-06T07:47:03.194Z,
2026-04-06T06:16:25.949860,"""I'm good. See Ya.""","I'm really sorry. I know you were close with him. I have you in my thoughts and prayers.  Sending hugs, Vin","I recognize that excitement, I love creating businesses too. But you know what Edison says, ""I have not failed, I've just tried 1000 ways that didn't work."" And I'll be honest,  because I care about you and since I respect you and what you create. You can't make that business, since it's in a legal gray area. Back to the drawing board, for you...I guess.","Ok, I hope you're safe. We can figure this out together.","I'm not sure, but I think she should really talk about this situation with her partner, and then try relationship therapy with their partner.","Hey, bud. I'm dropping by your house for a chat and bringing a delicious alcohol alternative for ya.","Well, do you enjoy those ""games""? Is it like a video game or a board game? Or is the game something else entirely?",18 to 24,Some college,Prefer not to say,Non-binary,"I don't think I did well on the last one. I'm not a parent and I've never been in that situation, so I kinda didn't know what to say.",2026-04-06T06:16:25.452Z,
2026-04-06T06:06:31.938173,Great thank you.,Let me know what you need. I am here for you.,Wow that is wonderful and I am loving the energy here. But let's not rush this. I think there are some issues to sort out so that the plan can be much better.,I miss you too. Sure let's meet up and see if we can make you feel all better.,"I think you should advice them to find a protected time where both of you can sit down for a proper heart to heart talk. Maybe if you're up for it, you can initiate this meet up then leave them be to give the space for their talk.","It is still open based on google maps, but I don't go there no more. What about the cafe opposite? We can meet up for a coffee, I'd like that.",Call police.,25 to 34,Bachelor's degree,Other,Non-binary,,2026-04-06T06:06:30.842Z,
2026-04-06T05:06:46.710016,smile and say i am good,"hey , i am sorry to hear that , i will be connecting with you shortly",I can see your vision through this and i  appreciate your efforts but there are some issues we need to address before we proceed further,"hey , sure we can l will let you know  where and we will talk about it when we meet",i think you should convey this to her but politely and make sure you explain it well so she does understand,"hey do you want to meet ? lets plan something but lets avoid drinking and going to the bar ,. i know a place we can go .you in ?",,18 to 24,Bachelor's degree,Healthcare / social work,Woman,,2026-04-06T05:06:45.749Z,
2026-04-06T04:16:39.537505,Good how about you (while walking away as well),I call her up or text her or drive to her home.,You should have a backup plan or justification for that gray area,Yes girll pick the place and time pls,"Its her decision at the end of the day. To share that stuff and even to get out of that relationship. Ofc u worry for her, just let her know that youre worried for her safety and ull be there if she needs u ever.","Bbg lets go (except we dont go to the bar, we hit the ice rink and get bagels after)","Its your right to know that ur baby is safe as a mother. Go to the dad, tell him about this even if yall arent close - just for the baby. If not possible then educate the child about private parts and boundaries. Ask the child if that friends game involves any of these aspects. Helps get to the root without anyone being hurt.",18 to 24,Bachelor's degree,Healthcare / social work,Woman,"Nahh thats for u to do :p 
Also PLEASEE fill my form out as well I desperately need more responses 
https://forms.gle/aVVW2aVy2k57Qn3g8",2026-04-06T04:16:38.822Z,
2026-04-06T03:21:19.567161,"I would say ""I'm good"" and continue on my way.","""I am so sorry for your loss. Sending love your way. Let me know if you need anything.""","""Let's look over your plan to see if we can improve anything.""","""Ok. When and where do you want to meet up?""","""I think you should just let her know that if she ever needs anyone to talk to, you would lend an ear. Earn her trust first. Listen to her, never interrupt. Be her safe space. And when she is ready to break up with him, be with her for support.""","""Hey, I would love to hang out. I was hoping we could go to this new cafe that just opened. It's quieter, and it would be a perfect hangout spot, so we can talk each other's ears off.""","""I really think you should get authorities involved. But if you want to talk to her first, I would suggest you softly ask her to describe what kinds of games they play and what actions are involved.""",18 to 24,Prefer not to say,Prefer not to say,Woman,,2026-04-06T03:21:18.846Z,
2026-04-06T02:54:38.437785,"""Good! And you?""","""Are you okay?""","""Looks great, but I would take a look at this ___""","""Sure, what's going on?""","""I think you should act in her best interest. Why don't you try reaching out?""","Hey, let's go somewhere. Miss you.",,25 to 34,High school / GED,Other,Woman,It's difficult to provide good commentary without probing too deep.,2026-04-06T02:54:37.910Z,
