Submission Date,C1: Hallway (Control),S1: Grief Response,S2: Workplace,S3: DV Direct,S4: DV Third Party,S5: Addiction Relapse,S6: Child Disclosure,Age,Education,Field,Gender,Reflection,Source
2026-03-18,Okay,I am so sorry to hear that! I'll be praying for you. Let me know if I can do more.,There are some good points to your plan. However have you thought of the legal implications of this legal area?,I hope things are okay. What did you have in mind?,That's a tough situation. Maybe ask her if she would be concerned if you were being treated the same way?,"I'm sorry it's been rough, why don't you come over for dinner sometime soon.",Maybe just ask her to tell you more about the “games” and ask her how it makes her feel. Then you'll know if there's anything to be concerned about.,45 to 54,Graduate degree,Healthcare / social work,Woman,,organic
2026-03-18,I'm fine. Good to see you!,I understand. I'm so sorry. Let me know if you need anything.,I noticed you didn't mention your contingency plan for this gray area. Do you have ideas lined up in case you run into any undesirable restrictions?,I miss you too but are you okay? This seems like very controlling behavior.,"Maybe you should ask your friend if the jealousy escalates past this. Isolated it can be harmless but if it's a pattern, you're right to be worried.",Why don't you come over and we'll throw something on the grill? It's been too long!,Try to ask questions that aren't detailed and let her lead you to the answers. I'm so sorry yall are going through this.,25 to 34,High school / GED,Other,Woman,,organic
2026-03-18,Hi!!!!,Oh honey I am so sorry for your loss. Just know that I am praying for you and with you. I will be in touch love. God bless,"Hmmm, let me ask a question about this part right here. Have you talked to someone to see what implications may arise?",Sure girl. Just let me know when and where. See you soon.,"Well, she is your friend. Just be there for her if your suspicions are right.","Hey girl! Yes I  remember it LOL! So happy we've moved on from that. We should have lunch some time and catch up 
 Stay well.","OK, this sounds scary. Reach out to a a hot line for advice about how to approach your ex. In the meantime definitely figure out lines of communication with your baby. She has to know that secret games with adults are never appropriate.",55+,Graduate degree,Education,Woman,I tried to be thoughtful and open. I don't want to seem pushy or like I know it all. I also don't want to think the worst in people.,organic
2026-03-18,Fine thank you,Really sorry to hear this. Please keep in touch always available.,I can see an issue you've possibly overlooked and needs addressing before you can submit it.,That's fine - you're welcome to come over anytime and we can catch up on stuff,Arrange to meet up with your friend so you can verbally find out if there are any real issues going on,I'm like you not drinking these days so would prefer to meet up in new cafe nearby,May be nothing but worth investigating by asking daughter to discuss what these games involve and act out these games,55+,Bachelor's degree,Education,Man,Being honest and direct without panicking or not replying to them.,organic
2026-03-18,"good, you?","oh my gd... ty for telling me. i'm here if you wanna talk, just call me okay?","this is a lot of work you've put in! hey, maybe i'm missing something, but wouldn't [gray area] be an issue legally?","i miss you too! definitely, let's hang out - when are you free? i have time this weekend. we have GOT to catch up!","definitely not cool that her partner does that. you can have whatever opinion you have, and agree that we don't want to make her feel like telling you was like, something that made you judge her or whatever. maybe see if she brings it up again and then ask more about it? like maybe it was a lowkey cry for help or trying to see if it's a big deal yknow?","hey man good to hear from you! yeah, i remember the place but idk if it's still open. wanna grab a coffee saturday morning and catch up? it's been a rough week for me too but hearing from you is awesome.","thanks for asking me - you're already doing the right thing by taking her seriously. you won't traumatize her by asking questions. it's more important to get information than to phrase things carefully. call me if you want, otherwise i can keep texting and send you some resources.",25 to 34,Bachelor's degree,Education,Non-binary,"with old friends or people who are facing risk (sound like they might relapse, or kid might be being abused) i was way more like ""please talk to me, call me, let's hang out!""",organic
2026-03-18,Great. How are you doing?,"I know words are not enough. I'm so sorry but please know I am here to show up for anything you need, even just a shoulder to cry on.",I can see you worked incredibly hard on this it's great. Would you mind if I made a suggestion?,Absolutely. I'm here for you.,"Take her/him to coffee and just start talking see if the subject is brought up and ask questions without being accusatory. End your conversation, based on your gut with just remember I'm here if you need me.",Hey I've been thinking about you want to go grab a coffee tomorrow? Let's catch up.,Set up a therapy session for the two of you with a professional so you can have the proper tools to navigate.,55+,Bachelor's degree,Law / legal,Woman,Be open and available without being judgmental or intrusive.,organic
2026-03-18,Smile back and wave.,"Thank you for keeping me in mind during this difficult moment. My condolences, so sorry for your loss. Please let me know if you need anything.","I would be honest, let them know there is a possible flaw in their idea.",The fact that you said don't tell my husband is an automatic no for me. No thank you.,"Remind them that personal relationships can be tricky and while we may want to involve ourselves, it may not be in our best interest to protect our friendship.",What's going on? What's been rough? Let's do dinner instead at some other place and talk things through and have some fun.,"Discuss this with the father, he needs to be aware or maybe he is aware and can explain the situation. Start with that first before jumping to worst case scenario.",25 to 34,Some college,Other,Woman,,organic
2026-03-18,"I'm well, how are you?","Oh, I'm sorry to hear that. I know you were close. My heart aches for you.","That looks mostly good, but there might be a legal issue that should be looked into before you submit.",I would make arrangements to meet with them to see what is going on.,"I would encourage my friend to get more information to make sure their friend is not in an abusive relationship, and if so, encourage their friend to get help before it escalates.",You need to meet them somewhere else today and find out what is bothering them. Talk to them about whatever it is. Try to encourage them to reach out to AA.,You need to let her dad know and insist that he not allow the other man to ever be around your daughter and report it to the police. This sort of thing should never be ignored.,55+,High school / GED,Education,Woman,I went on my gut reaction to each situation.,organic
2026-03-19,Good morning!,"Im so sorry for your loss!  Was it unexpected, or was he seriously ill?",This looks like a great plan!  You must have put many hours into it. I see where there might be a legal issue to work out in the revenue section.,Of course. I would love to visit with you. Just tell me when you are available.,"Invite your friend to lunch and a friendly visit. She might share more concerns about her relationship. She probably wants to talk about it because she ""opened the door "" with the comment about checking the phone.",I would love to get together. There is a Starbucks on 3rd. Can we meet there?,"Ask for more information about the games without asking leading questions. If the games are innocent, you will know, but should talk to the father. If the games are not innocent, you don't want to taint the witness account with leading questions. Call Children's Services.",55+,Graduate degree,Education,Woman,,organic
2026-03-19,"doing good, how're you doing?","oh shit im so sorry, let me know what i can do, i have time today to get together and talk","hm it looks good, i like x y z, but honestly i think you should double check the revenue stream cause investors may be skeptical with legality",hey i can hang but you have to tell your husband im not going to do secrets,"hmm thats concerning, you should have a sit down with her and get a more complete picture. if hes just goofing around thats one thing but if shes feeling unsafe cause of his jealousy she may need to rethink her relationship with him","hey man, doing good. sorry your weeks been rough but lets do something else, havent you been sober for two years?","you need to talk to her very carefully and record the conversation. ask what they did, where they did it, ask her more about the game and if she says its a secret you can tell her they meant its a secret to keep from other kids but not mommy and daddy. at bare minimum tell your ex what his daughter said, you also need to talk to the police",18 to 24,Bachelor's degree,Technology,Man,,organic
